NumeroControl,NombreCompleto,Promedio
2117v0558,Pedro  Martinez,55
2117v0559,Emilio  Ontiveros,24
2117v0560,Juan  Santos,31
2117v0561,Said  Ontiveros,33
2117v0562,Pedro  Hernandez,55
2117v0563,Abelardo  Matias,38
2117v0564,Flor  Matias,31
2117v0565,Flor  Bautista,37
2117v0566,Pedro  Mede ,5
2117v0567,Ali  Bautista,44
2117v0568,Abelardo  de la cuz ,82
2117v0569,Emilio  Sanchez,99
2117v0570,Maria Santos,24
2117v0571,Laura Bautista,87
2117v0572,Ali  Vite,79
2117v0573,Said  Sanchez,46
2117v0574,Maria Bautista,94
2117v0575,Emilio  Mede ,69
2117v0576,Laura Martinez,87
2117v0577,Said  Ontiveros,74
2117v0578,Said  de la cuz ,80
2117v0579,Pedro  de la cuz ,92
2117v0580,Pedro  Martinez,45
2117v0581,Ali  Bautista,89
2117v0582,Emilio  Sanchez,92
2117v0583,Abelardo  Hernandez,73
2117v0584,Ali  Santos,67
2117v0585,Emilio  Mede ,98
2117v0586,Ali  de la cuz ,42
2117v0587,Maria Ontiveros,69
2117v0588,Uriel Matias,19
2117v0589,Pedro  Sanchez,55
2117v0590,Juan  Matias,23
2117v0591,Said  Vite,75
2117v0592,Flor  Matias,97
2117v0593,Abelardo  Martinez,68
2117v0594,Pedro  Sanchez,88
2117v0595,Maria de la cuz ,93
2117v0596,Maria Ontiveros,62
2117v0597,Ali  de la cuz ,60
2117v0598,Laura Santos,32
2117v0599,Pedro  Mede ,7
2117v0600,Said  Matias,4
2117v0601,Emilio  Vite,72
2117v0602,Said  de la cuz ,17
2117v0603,Said  Ontiveros,56
2117v0604,Ali  Mede ,24
2117v0605,Laura Santos,30
2117v0606,Flor  Hernandez,47
2117v0607,Abelardo  Santos,80
2117v0608,Maria Ontiveros,41
2117v0609,Said  Bautista,26
2117v0610,Uriel Sanchez,82
2117v0611,Uriel Mede ,35
2117v0612,Juan  Sanchez,62
2117v0613,Emilio  Matias,17
2117v0614,Pedro  Santos,71
2117v0615,Emilio  Martinez,5
2117v0616,Flor  Martinez,80
2117v0617,Said  Ontiveros,82
2117v0618,Abelardo  Sanchez,99
2117v0619,Pedro  Hernandez,64
2117v0620,Laura de la cuz ,42
2117v0621,Laura Vite,80
2117v0622,Flor  Vite,100
2117v0623,Laura Bautista,55
2117v0624,Uriel Matias,83
2117v0625,Laura de la cuz ,68
2117v0626,Flor  Hernandez,28
2117v0627,Said  de la cuz ,62
2117v0628,Maria Mede ,2
2117v0629,Flor  Santos,73
2117v0630,Ali  Mede ,77
2117v0631,Said  Hernandez,11
2117v0632,Laura Mede ,23
2117v0633,Laura Santos,26
2117v0634,Juan  Sanchez,59
2117v0635,Laura Ontiveros,89
2117v0636,Emilio  Ontiveros,57
2117v0637,Laura Vite,6
2117v0638,Abelardo  Santos,24
2117v0639,Flor  de la cuz ,7
2117v0640,Abelardo  de la cuz ,4
2117v0641,Said  de la cuz ,12
2117v0642,Flor  Ontiveros,40
2117v0643,Abelardo  Hernandez,53
2117v0644,Laura Matias,3
2117v0645,Said  de la cuz ,25
2117v0646,Said  Martinez,81
2117v0647,Ali  Sanchez,66
2117v0648,Said  Vite,53
2117v0649,Abelardo  Ontiveros,22
2117v0650,Uriel de la cuz ,66
2117v0651,Uriel Sanchez,18
2117v0652,Laura Hernandez,72
2117v0653,Said  Mede ,62
2117v0654,Ali  Bautista,100
2117v0655,Juan  Mede ,6
2117v0656,Maria Hernandez,97
2117v0657,Juan  de la cuz ,100
2117v0658,Ali  de la cuz ,54
2117v0659,Emilio  Mede ,65
2117v0660,Maria Sanchez,74
2117v0661,Uriel Ontiveros,13
2117v0662,Uriel Vite,20
2117v0663,Abelardo  Santos,96
2117v0664,Juan  Matias,11
2117v0665,Abelardo  de la cuz ,68
2117v0666,Laura Santos,74
2117v0667,Said  Sanchez,18
2117v0668,Pedro  Sanchez,11
2117v0669,Pedro  Santos,21
2117v0670,Said  Mede ,46
2117v0671,Maria Martinez,3
2117v0672,Uriel Mede ,38
2117v0673,Laura Hernandez,13
2117v0674,Laura Ontiveros,96
2117v0675,Maria Hernandez,78
2117v0676,Abelardo  de la cuz ,4
2117v0677,Maria Santos,8
2117v0678,Abelardo  Mede ,59
2117v0679,Ali  de la cuz ,48
2117v0680,Juan  Vite,24
2117v0681,Flor  Bautista,73
2117v0682,Pedro  Hernandez,81
2117v0683,Juan  Sanchez,100
2117v0684,Juan  Santos,27
2117v0685,Maria Hernandez,31
2117v0686,Juan  Bautista,71
2117v0687,Ali  Mede ,62
2117v0688,Flor  Hernandez,25
2117v0689,Laura Martinez,4
2117v0690,Juan  Matias,9
2117v0691,Laura Matias,77
2117v0692,Said  Ontiveros,87
2117v0693,Laura Matias,47
2117v0694,Uriel Sanchez,15
2117v0695,Ali  Bautista,36
2117v0696,Ali  Hernandez,68
2117v0697,Juan  Sanchez,65
2117v0698,Pedro  Martinez,8
2117v0699,Ali  Hernandez,74
2117v0700,Said  Mede ,75
2117v0701,Juan  de la cuz ,48
2117v0702,Maria Santos,76
2117v0703,Ali  Hernandez,16
2117v0704,Ali  Hernandez,48
2117v0705,Ali  Ontiveros,55
2117v0706,Pedro  Martinez,43
2117v0707,Said  Bautista,19
2117v0708,Emilio  Martinez,93
2117v0709,Said  Bautista,95
2117v0710,Uriel Sanchez,93
2117v0711,Juan  Bautista,84
2117v0712,Uriel Ontiveros,22
2117v0713,Flor  Mede ,89
2117v0714,Ali  de la cuz ,77
2117v0715,Emilio  de la cuz ,22
2117v0716,Laura Ontiveros,14
2117v0717,Said  Hernandez,22
2117v0718,Emilio  Mede ,96
2117v0719,Ali  Sanchez,53
2117v0720,Abelardo  Vite,57
2117v0721,Abelardo  Matias,59
2117v0722,Said  Hernandez,86
2117v0723,Pedro  Martinez,93
2117v0724,Said  Sanchez,81
2117v0725,Abelardo  Vite,12
2117v0726,Pedro  Vite,50
2117v0727,Laura Hernandez,95
2117v0728,Emilio  Hernandez,2
2117v0729,Emilio  Sanchez,39
2117v0730,Laura Vite,36
2117v0731,Flor  Hernandez,94
2117v0732,Abelardo  Mede ,53
2117v0733,Emilio  Santos,81
2117v0734,Maria Sanchez,60
2117v0735,Abelardo  Sanchez,34
2117v0736,Juan  Vite,66
2117v0737,Said  Vite,78
2117v0738,Uriel Martinez,7
2117v0739,Abelardo  Hernandez,46
2117v0740,Laura Santos,62
2117v0741,Emilio  Matias,36
2117v0742,Said  Vite,53
2117v0743,Emilio  Mede ,43
2117v0744,Maria Vite,16
2117v0745,Juan  Sanchez,62
2117v0746,Said  Ontiveros,89
2117v0747,Laura Hernandez,35
2117v0748,Said  Mede ,90
2117v0749,Maria Martinez,77
2117v0750,Said  Matias,30
2117v0751,Maria Ontiveros,56
2117v0752,Laura de la cuz ,12
2117v0753,Maria Ontiveros,26
2117v0754,Laura Vite,44
2117v0755,Said  Hernandez,88
2117v0756,Abelardo  Santos,81
2117v0757,Juan  Martinez,66
2117v0758,Juan  Bautista,40
2117v0759,Said  Ontiveros,83
2117v0760,Uriel Santos,11
2117v0761,Emilio  Mede ,88
2117v0762,Said  Sanchez,73
2117v0763,Flor  Santos,27
2117v0764,Said  Bautista,28
2117v0765,Uriel Vite,35
2117v0766,Ali  Vite,21
2117v0767,Emilio  Sanchez,58
2117v0768,Ali  Martinez,52
2117v0769,Flor  Matias,53
2117v0770,Laura Bautista,71
2117v0771,Maria Vite,21
2117v0772,Said  Santos,72
2117v0773,Uriel Martinez,59
2117v0774,Flor  Mede ,74
2117v0775,Maria Mede ,37
2117v0776,Flor  Vite,17
2117v0777,Juan  de la cuz ,27
2117v0778,Said  Martinez,87
2117v0779,Ali  Bautista,62
2117v0780,Said  Ontiveros,78
2117v0781,Juan  Hernandez,67
2117v0782,Laura Hernandez,19
2117v0783,Pedro  Matias,96
2117v0784,Flor  Hernandez,74
2117v0785,Flor  de la cuz ,19
2117v0786,Abelardo  de la cuz ,7
2117v0787,Pedro  Sanchez,25
2117v0788,Maria Martinez,92
2117v0789,Laura Bautista,70
2117v0790,Uriel Sanchez,2
2117v0791,Juan  Bautista,85
2117v0792,Pedro  Bautista,50
2117v0793,Flor  Bautista,99
2117v0794,Abelardo  Sanchez,19
2117v0795,Pedro  de la cuz ,39
2117v0796,Maria Mede ,14
2117v0797,Juan  Matias,51
2117v0798,Abelardo  Matias,12
2117v0799,Maria Sanchez,1
2117v0800,Laura Sanchez,2
2117v0801,Ali  de la cuz ,49
2117v0802,Said  Santos,24
2117v0803,Said  Bautista,77
2117v0804,Emilio  Matias,17
